houseCode,partner,province,municipality,barangay,img_house,_location_latitude,_location_longitude,_location_precision,meta/instanceID,_uuid,_submission_time
A_PH072209012_00020,German Red Cross,Cebu,Bantayan,Kangkaibe,1404703732411.jpg,11.18712435,123.7404087,4,uuid:04af7e7b-076a-4dcb-acad-194fd8a20fb4,04af7e7b-076a-4dcb-acad-194fd8a20fb4,2014-07-07T08:53:15
A_PH072209012_00019,German Red Cross,Cebu,Bantayan,Kangkaibe,1168447929700.jpg,11.18702589,123.7404893,8,uuid:f6d95191-3425-4ccb-8eeb-c3929958d831,f6d95191-3425-4ccb-8eeb-c3929958d831,2014-07-08T00:08:06
A_PH072209012_00028,German Red Cross,Cebu,Bantayan,Kangkaibe,1406533391970.jpg,11.19050538,123.7358248,8,uuid:2575bda9-4ca5-4170-a38b-5c90548a85eb,2575bda9-4ca5-4170-a38b-5c90548a85eb,2014-07-29T01:35:23
A_PH072209012_00038,German Red Cross,Cebu,Bantayan,Kangkaibe,1406521578262.jpg,11.17843235,123.7379126,8,uuid:f22bbd4c-1cc9-418b-94e3-734c0f769f16,f22bbd4c-1cc9-418b-94e3-734c0f769f16,2014-07-28T09:57:27
A_PH072209012_00041,German Red Cross,Cebu,Bantayan,Kangkaibe,1406530774329.jpg,11.18699408,123.735327,8,uuid:0906a5cf-28f5-4ef0-a3f3-3d71dd1a1297,0906a5cf-28f5-4ef0-a3f3-3d71dd1a1297,2014-07-28T09:58:03
A_PH072209012_00018,German Red Cross,Cebu,Bantayan,Kangkaibe,1168447024288.jpg,11.18667615,123.7389216,32,uuid:e09992ef-31cb-47d9-b066-4dbbf3c662ab,e09992ef-31cb-47d9-b066-4dbbf3c662ab,2014-07-08T00:07:14
A_PH072209012_00017,German Red Cross,Cebu,Bantayan,Kangkaibe,1168447315402.jpg,11.18651696,123.7389887,12,uuid:38005923-c36d-4d19-b8cc-8f2447b43617,38005923-c36d-4d19-b8cc-8f2447b43617,2014-07-08T00:07:42
A_PH072209012_00056,German Red Cross,Cebu,Bantayan,Kangkaibe,1406531727393.jpg,11.18777668,123.7354388,32,uuid:d7787928-ebd3-4634-9c73-16c9e37931d1,d7787928-ebd3-4634-9c73-16c9e37931d1,2014-07-28T10:01:00
A_PH083736022_00395,Netherlands Red Cross,Leyte,Merida,Tubod,1410414984634.jpg,10.91004943,124.5029547,5,uuid:0dd71acb-03c7-43da-a904-5df224fb4f5c,0dd71acb-03c7-43da-a904-5df224fb4f5c,2014-09-12T23:49:27
A_PH083722017_00238,Netherlands Red Cross,Leyte,Isabel,Puting Bato,1410406009981.jpg,10.94618437,124.4777138,5,uuid:4b85668c-a8b6-4db9-9305-2b74de91c049,4b85668c-a8b6-4db9-9305-2b74de91c049,2014-09-13T01:04:10
A_PH083736020_00341,Netherlands Red Cross,Leyte,Merida,San Jose,1410421058363.jpg,10.93176422,124.4939727,5,uuid:e9e5c845-27c5-47cd-b291-30634667ab1b,e9e5c845-27c5-47cd-b291-30634667ab1b,2014-09-13T01:06:45
A_PH083736005_00317,Netherlands Red Cross,Leyte,Merida,Cambalong,1410416892432.jpg,10.9209185,124.5176847,5,uuid:6172d4ab-add2-47ce-82fc-be811c374efd,6172d4ab-add2-47ce-82fc-be811c374efd,2014-09-13T01:25:08
A_PH083736004_00285,Netherlands Red Cross,Leyte,Merida,Calunasan,1410447430040.jpg,10.94500553,124.5137215,5,uuid:53154ea5-1788-4451-b7b2-55fc25af39db,53154ea5-1788-4451-b7b2-55fc25af39db,2014-09-13T01:41:01
A_PH083722007_00199,Netherlands Red Cross,Leyte,Isabel,Can-Andan,1410402789489.jpg,10.95139538,124.4477264,5,uuid:0f1cec10-472c-469e-891c-d1f7e4018b49,0f1cec10-472c-469e-891c-d1f7e4018b49,2014-09-13T03:21:25
B_PH083746016_4MAC035,IFRC,Leyte,Tabontabon,District IV Poblacion,1404789336899.jpg,11.04260815,124.9701946,4,uuid:7050940a-4a43-4f93-863b-83cf61d89ae0,7050940a-4a43-4f93-863b-83cf61d89ae0,2014-09-29T00:55:50
B_PH083746016_4MAC031,IFRC,Leyte,Tabontabon,District IV Poblacion,1404789704496.jpg,11.04267458,124.9703426,5,uuid:a5eba9df-edf8-4195-8f50-ba2a9d81725d,a5eba9df-edf8-4195-8f50-ba2a9d81725d,2014-09-29T00:56:03
B_PH083746016_4MAC037,IFRC,Leyte,Tabontabon,District IV Poblacion,1404790084229.jpg,11.04269359,124.9702349,3,uuid:43a3edc2-7614-44c2-a79d-4546ea683837,43a3edc2-7614-44c2-a79d-4546ea683837,2014-09-29T00:56:09
B_PH083746016_4MAC036,IFRC,Leyte,Tabontabon,District IV Poblacion,1404790383657.jpg,11.04268375,124.9702026,4,uuid:7bdcfab2-8760-4f6d-be7d-462233fc34ee,7bdcfab2-8760-4f6d-be7d-462233fc34ee,2014-09-29T00:56:13
B_PH083746016_4MAC033,IFRC,Leyte,Tabontabon,District IV Poblacion,1404791009468.jpg,11.04270485,124.9723978,5,uuid:4123de1e-b9fa-4270-b03b-77b37e582c88,4123de1e-b9fa-4270-b03b-77b37e582c88,2014-09-29T00:56:15
B_PH083746016_4MAC032,IFRC,Leyte,Tabontabon,District IV Poblacion,1404791306278.jpg,11.04272947,124.972412,5,uuid:fa80f544-ad83-4767-9451-ec49683670f2,fa80f544-ad83-4767-9451-ec49683670f2,2014-09-29T00:56:16
